iter	Passed	Remaining
469	7461	10572
470	7477	10556
471	7490	10537
472	7503	10518
473	7519	10501
474	7533	10483
475	7547	10465
476	7562	10448
477	7578	10431
478	7592	10414
479	7607	10396
480	7621	10378
481	7637	10362
482	7652	10345
483	7666	10327
484	7680	10309
485	7694	10291
486	7709	10274
487	7723	10255
488	7737	10237
489	7752	10220
490	7766	10202
491	7781	10186
492	7796	10168
493	7812	10152
494	7827	10136
495	7843	10120
496	7857	10102
497	7870	10083
498	7885	10066
499	7899	10048
500	7912	10028
501	7926	10010
502	7941	9994
503	7958	9979
504	7977	9968
505	7993	9951
506	8013	9941
507	8028	9924
508	8042	9907
509	8055	9887
510	8069	9869
511	8084	9852
512	8098	9834
513	8111	9816
514	8126	9799
515	8140	9780
516	8155	9765
517	8170	9747
518	8185	9730
519	8200	9714
520	8214	9696
521	8230	9681
522	8246	9665
523	8258	9645
524	8273	9628
525	8288	9612
526	8302	9594
527	8319	9580
528	8334	9563
529	8349	9547
530	8365	9531
531	8379	9513
532	8394	9497
533	8408	9479
534	8422	9461
535	8436	9443
536	8451	9426
537	8464	9408
538	8479	9391
539	8493	9373
540	8505	9354
541	8521	9338
542	8535	9321
543	8550	9305
544	8565	9288
545	8580	9272
546	8595	9255
547	8609	9237
548	8627	9224
549	8644	9209
550	8658	9192
551	8673	9176
552	8689	9160
553	8705	9145
554	8721	9130
555	8735	9112
556	8750	9096
557	8765	9079
558	8780	9062
559	8793	9045
560	8809	9029
561	8825	9013
562	8838	8995
563	8851	8977
564	8866	8960
565	8882	8944
566	8899	8930
567	8915	8915
568	8931	8899
569	8946	8883
570	8960	8865
571	8976	8850
572	8992	8835
573	9008	8819
574	9025	8805
575	9040	8789
576	9057	8775
577	9071	8758
578	9087	8742
579	9107	8730
580	9124	8716
581	9140	8700
582	9154	8683
583	9170	8667
584	9184	8650
585	9198	8633
586	9214	8618
587	9231	8603
588	9247	8588
589	9262	8571
590	9276	8554
591	9291	8537
592	9305	8521
593	9320	8504
594	9333	8486
595	9349	8471
596	9364	8454
597	9379	8438
598	9394	8421
599	9410	8407
600	9427	8391
601	9443	8376
602	9457	8359
603	9477	8347
604	9494	8333
605	9510	8318
606	9527	8302
607	9541	8286
608	9556	8269
609	9570	8252
610	9587	8237
611	9605	8224
612	9621	8208
613	9637	8193
614	9652	8176
615	9667	8161
616	9682	8144
617	9695	8126
618	9710	8110
619	9724	8093
620	9738	8076
621	9753	8059
622	9768	8043
623	9783	8027
624	9799	8012
625	9816	7997
626	9830	7980
627	9845	7964
628	9865	7951
629	9880	7935
630	9896	7920
631	9911	7904
632	9928	7889
633	9944	7873
634	9958	7856
635	9973	7840
636	9988	7824
637	10003	7807
638	10018	7791
639	10033	7775
640	10048	7760
641	10063	7743
642	10079	7727
643	10092	7710
644	10109	7695
645	10132	7685
646	10147	7669
647	10161	7652
648	10177	7636
649	10191	7619
650	10206	7603
651	10222	7588
652	10238	7573
653	10253	7556
654	10268	7540
655	10283	7524
656	10297	7507
657	10311	7491
658	10328	7475
659	10344	7460
660	10361	7445
661	10377	7430
662	10392	7414
663	10407	7397
664	10421	7381
665	10436	7365
666	10449	7347
667	10463	7330
668	10479	7315
669	10495	7300
670	10509	7283
671	10525	7267
672	10539	7250
673	10554	7234
674	10569	7218
675	10584	7202
676	10600	7186
677	10620	7174
678	10637	7159
679	10650	7142
680	10668	7127
681	10684	7112
682	10700	7097
683	10718	7082
684	10736	7068
685	10751	7052
686	10765	7036
687	10783	7021
688	10798	7005
689	10812	6988
690	10828	6973
691	10844	6957
692	10859	6942
693	10875	6926
694	10890	6910
695	10905	6894
696	10918	6877
697	10934	6861
698	10949	6845
699	10966	6830
700	10982	6815
701	10999	6800
702	11022	6789
703	11038	6773
704	11056	6759
705	11072	6743
706	11086	6727
707	11104	6712
708	11120	6697
709	11137	6682
710	11152	6666
711	11169	6651
712	11184	6635
713	11198	6618
714	11212	6601
715	11226	6585
716	11241	6569
717	11257	6554
718	11271	6537
719	11287	6521
720	11303	6506
721	11319	6490
722	11335	6475
723	11352	6460
724	11370	6445
725	11385	6429
726	11399	6413
727	11414	6397
728	11431	6381
729	11447	6366
730	11462	6350
731	11477	6334
732	11492	6318
733	11507	6302
734	11522	6286
735	11537	6270
736	11552	6254
737	11568	6239
738	11582	6222
739	11597	6206
740	11611	6189
741	11626	6173
742	11640	6156
743	11657	6141
744	11673	6126
745	11687	6110
746	11702	6094
747	11716	6077
748	11730	6060
749	11743	6044
750	11757	6027
751	11771	6011
752	11786	5994
753	11803	5980
754	11815	5962
755	11829	5946
756	11843	5929
757	11858	5913
758	11873	5897
759	11888	5881
760	11903	5865
761	11918	5849
762	11933	5833
763	11948	5818
764	11964	5802
765	11979	5786
766	11993	5769
767	12006	5753
768	12021	5737
769	12034	5720
770	12047	5703
771	12060	5686
772	12075	5670
773	12090	5654
774	12104	5638
775	12116	5621
776	12131	5605
777	12146	5589
778	12159	5572
779	12174	5556
780	12188	5540
781	12203	5524
782	12217	5508
783	12232	5492
784	12246	5475
785	12261	5460
786	12276	5444
787	12292	5428
788	12306	5412
789	12320	5396
790	12333	5379
791	12347	5363
792	12361	5346
793	12374	5330
794	12389	5314
795	12403	5297
796	12422	5283
797	12436	5267
798	12451	5251
799	12466	5235
800	12480	5219
801	12495	5203
802	12510	5188
803	12525	5172
804	12540	5156
805	12557	5141
806	12571	5125
807	12586	5109
808	12602	5093
809	12617	5077
810	12631	5061
811	12646	5046
812	12661	5030
813	12677	5015
814	12693	4999
815	12707	4983
816	12722	4967
817	12737	4951
818	12752	4935
819	12768	4920
820	12782	4904
821	12799	4889
822	12818	4874
823	12834	4859
824	12849	4843
825	12865	4828
826	12880	4812
827	12897	4797
828	12911	4781
829	12929	4766
830	12946	4751
831	12963	4736
832	12983	4722
833	13000	4707
834	13016	4692
835	13029	4675
836	13053	4663
837	13067	4646
838	13083	4631
839	13098	4615
840	13111	4599
841	13124	4582
842	13138	4566
843	13153	4550
844	13166	4534
845	13180	4518
846	13196	4502
847	13212	4487
848	13226	4471
849	13243	4456
850	13259	4440
851	13274	4424
852	13287	4408
853	13302	4392
854	13318	4377
855	13334	4361
856	13349	4346
857	13363	4330
858	13379	4314
859	13394	4298
860	13409	4282
861	13422	4266
862	13435	4250
863	13454	4235
864	13471	4220
865	13486	4204
866	13500	4188
867	13516	4173
868	13533	4158
869	13548	4142
870	13560	4125
871	13575	4110
872	13591	4094
873	13608	4079
874	13625	4064
875	13638	4048
876	13651	4031
877	13666	4015
878	13681	4000
879	13696	3984
880	13710	3968
881	13725	3952
882	13740	3936
883	13757	3921
884	13772	3906
885	13786	3890
886	13802	3874
887	13817	3858
888	13831	3842
889	13845	3826
890	13859	3811
891	13876	3795
892	13893	3780
893	13907	3764
894	13923	3749
895	13938	3733
896	13954	3718
897	13968	3702
898	13982	3686
899	13996	3670
900	14010	3654
901	14023	3638
902	14040	3622
903	14057	3607
904	14072	3591
905	14088	3576
906	14104	3561
907	14119	3545
908	14133	3529
909	14146	3513
910	14159	3497
911	14174	3481
912	14187	3465
913	14204	3450
914	14219	3434
915	14233	3418
916	14248	3402
917	14262	3386
918	14275	3370
919	14289	3354
920	14302	3338
921	14317	3323
922	14331	3307
923	14345	3291
924	14361	3275
925	14377	3260
926	14392	3244
927	14406	3229
928	14420	3213
929	14434	3197
930	14450	3181
931	14463	3165
932	14479	3150
933	14493	3134
934	14507	3118
935	14522	3103
936	14537	3087
937	14551	3071
938	14565	3055
939	14579	3039
940	14593	3024
941	14609	3008
942	14624	2993
943	14639	2977
944	14653	2961
945	14669	2946
946	14683	2930
947	14698	2914
948	14713	2899
949	14728	2883
950	14742	2867
951	14755	2851
952	14770	2836
953	14785	2820
954	14799	2804
955	14813	2789
956	14827	2773
957	14844	2758
958	14860	2742
959	14875	2727
960	14889	2711
961	14906	2696
962	14920	2680
963	14938	2665
964	14954	2649
965	14968	2634
966	14982	2618
967	14998	2603
968	15011	2587
969	15026	2571
970	15045	2556
971	15057	2540
972	15070	2524
973	15085	2509
974	15098	2493
975	15113	2477
976	15127	2461
977	15141	2446
978	15155	2430
979	15170	2414
980	15185	2399
981	15199	2383
982	15213	2367
983	15226	2352
984	15240	2336
985	15255	2320
986	15268	2304
987	15281	2289
988	15294	2273
989	15309	2257
990	15322	2241
991	15336	2226
992	15349	2210
993	15364	2194
994	15379	2179
995	15392	2163
996	15405	2147
997	15421	2132
998	15443	2117
999	15457	2102
1000	15470	2086
1001	15486	2070
1002	15500	2055
1003	15512	2039
1004	15526	2023
1005	15541	2008
1006	15555	1992
1007	15569	1977
1008	15581	1961
1009	15595	1945
1010	15608	1929
1011	15623	1914
1012	15636	1898
1013	15652	1883
1014	15666	1867
1015	15680	1852
1016	15695	1836
1017	15709	1820
1018	15723	1805
1019	15737	1789
1020	15752	1774
1021	15766	1758
1022	15781	1743
1023	15796	1727
1024	15812	1712
1025	15828	1696
1026	15845	1681
1027	15859	1666
1028	15873	1650
1029	15886	1634
1030	15901	1619
1031	15915	1603
1032	15929	1588
1033	15942	1572
1034	15955	1556
1035	15967	1541
1036	15982	1525
1037	15998	1510
1038	16010	1494
1039	16025	1479
1040	16039	1463
1041	16054	1448
1042	16067	1432
1043	16080	1417
1044	16093	1401
1045	16108	1386
1046	16122	1370
1047	16137	1355
1048	16152	1339
1049	16166	1324
1050	16179	1308
1051	16193	1292
1052	16205	1277
1053	16219	1261
1054	16233	1246
1055	16246	1230
1056	16261	1215
1057	16274	1199
1058	16289	1184
1059	16302	1168
1060	16316	1153
1061	16332	1138
1062	16345	1122
1063	16359	1107
1064	16373	1091
1065	16386	1076
1066	16401	1060
1067	16416	1045
1068	16429	1029
1069	16442	1014
1070	16457	998
1071	16473	983
1072	16490	968
1073	16503	952
1074	16517	937
1075	16531	921
1076	16546	906
1077	16560	891
1078	16576	875
1079	16589	860
1080	16605	844
1081	16619	829
1082	16632	813
1083	16647	798
1084	16661	783
1085	16680	767
1086	16694	752
1087	16707	737
1088	16721	721
1089	16736	706
1090	16751	690
1091	16766	675
1092	16781	660
1093	16796	644
1094	16812	629
1095	16827	614
1096	16841	598
1097	16857	583
1098	16871	568
1099	16886	552
1100	16902	537
1101	16917	521
1102	16932	506
1103	16947	491
