iter	Cox
379	-116871.051
380	-116869.0277
381	-116867.0336
382	-116866.2321
383	-116865.0847
384	-116862.3901
385	-116861.5249
386	-116860.3278
387	-116858.0667
388	-116854.0505
389	-116850.2299
390	-116847.4755
391	-116846.4743
392	-116845.0795
393	-116843.6773
394	-116840.316
395	-116838.1786
396	-116835.8349
397	-116834.6838
398	-116831.6056
399	-116829.5747
400	-116827.6606
401	-116825.4133
402	-116822.0865
403	-116819.7504
404	-116816.9318
405	-116814.4621
406	-116812.749
407	-116811.5014
408	-116808.8261
409	-116804.978
410	-116802.8552
411	-116799.7599
412	-116797.8422
413	-116795.5044
414	-116793.8856
415	-116791.6106
416	-116790.1975
417	-116787.2577
418	-116784.2248
419	-116783.9507
420	-116782.4238
421	-116780.6328
422	-116778.8244
423	-116774.8877
424	-116773.5856
425	-116771.7975
426	-116770.994
427	-116767.1259
428	-116765.2372
429	-116762.1961
430	-116758.3099
431	-116756.8153
432	-116753.6559
433	-116749.4834
434	-116747.4625
435	-116744.5327
436	-116742.0245
437	-116738.4945
438	-116737.0724
439	-116736.1759
440	-116733.2903
441	-116731.0064
442	-116729.86
443	-116726.9036
444	-116724.0652
445	-116722.9766
446	-116720.7273
447	-116718.6037
448	-116715.9839
449	-116712.7946
450	-116708.8557
451	-116707.238
452	-116706.6177
453	-116705.5861
454	-116704.4807
455	-116702.0634
456	-116700.4551
457	-116699.7132
458	-116698.7646
459	-116696.3882
460	-116693.3636
461	-116693.1206
462	-116690.659
463	-116690.2456
464	-116689.5492
465	-116689.2528
466	-116687.9459
467	-116686.4338
468	-116681.3737
469	-116678.1435
470	-116674.8512
471	-116673.9072
472	-116672.032
473	-116669.256
474	-116667.6842
475	-116665.7811
476	-116663.8054
477	-116662.8278
478	-116661.6553
479	-116658.668
480	-116657.6968
481	-116654.6726
482	-116652.0966
483	-116650.4758
484	-116648.6618
485	-116647.4531
486	-116644.4677
487	-116642.7381
488	-116640.3931
489	-116638.9063
490	-116637.6575
491	-116634.1543
492	-116632.5761
493	-116631.2177
494	-116627.7216
495	-116624.4566
496	-116622.4357
497	-116621.0419
498	-116618.7806
499	-116616.8661
500	-116616.5182
501	-116615.987
502	-116614.0227
503	-116609.2925
504	-116607.3792
505	-116604.5344
506	-116602.9042
507	-116599.7804
508	-116597.1944
509	-116596.448
510	-116594.1272
511	-116592.3724
512	-116591.064
513	-116589.4842
514	-116586.5846
515	-116585.5982
516	-116583.1256
517	-116580.3719
518	-116579.2557
519	-116576.4631
520	-116575.9952
521	-116571.9637
522	-116568.452
523	-116568.1047
524	-116565.0469
525	-116561.6875
526	-116559.6665
527	-116557.4414
528	-116556.5774
529	-116554.3212
530	-116552.0922
531	-116549.7738
532	-116545.9012
533	-116544.7595
534	-116543.9722
535	-116541.836
536	-116539.7199
537	-116537.9269
538	-116536.1554
539	-116534.1156
540	-116534.0065
541	-116532.3761
542	-116529.7319
543	-116526.4397
544	-116524.9878
545	-116523.2102
546	-116520.2196
547	-116518.7226
548	-116517.662
549	-116515.4866
550	-116513.8519
551	-116511.8354
552	-116509.9763
553	-116508.7389
554	-116506.2302
555	-116505.0845
556	-116503.8287
557	-116501.7793
558	-116499.5249
559	-116498.9028
560	-116496.8103
561	-116495.4197
562	-116494.5046
563	-116493.8655
564	-116492.5284
565	-116491.0371
566	-116490.371
567	-116488.9322
568	-116486.7488
569	-116485.2466
570	-116484.3185
571	-116481.4469
572	-116478.9462
573	-116476.7457
574	-116474.9112
575	-116473.4436
576	-116470.5194
577	-116469.7181
578	-116468.4494
579	-116466.6233
580	-116464.1599
581	-116463.1135
582	-116461.7091
583	-116459.8283
584	-116459.2567
585	-116458.0391
586	-116456.228
587	-116455.1232
588	-116453.3257
589	-116451.9172
590	-116450.2282
591	-116449.0364
592	-116446.7429
593	-116445.4093
594	-116444.7537
595	-116442.9594
596	-116440.5313
597	-116439.6982
598	-116439.2221
599	-116437.4108
600	-116435.7468
601	-116433.3943
602	-116432.7246
603	-116431.3952
604	-116429.3926
605	-116428.3482
606	-116427.5305
607	-116426.6647
608	-116424.3419
609	-116423.8181
610	-116422.4262
611	-116418.6822
612	-116416.1692
613	-116414.5069
614	-116412.9431
615	-116410.3427
616	-116409.2048
617	-116407.7654
618	-116404.6328
619	-116403.2932
620	-116400.9585
621	-116398.7982
622	-116397.7533
623	-116395.8953
624	-116393.548
625	-116391.5834
626	-116389.1838
627	-116387.6944
628	-116383.3689
629	-116381.033
630	-116378.1088
631	-116376.2798
632	-116374.6536
633	-116372.8299
634	-116371.4559
635	-116368.6398
636	-116365.0451
637	-116363.7502
638	-116361.513
639	-116360.0299
640	-116357.3462
641	-116355.3781
642	-116353.9455
643	-116352.4403
644	-116350.1678
645	-116348.3042
646	-116347.1633
647	-116346.1902
648	-116345.4148
649	-116343.5756
650	-116342.9033
651	-116341.0152
652	-116339.7262
653	-116338.7526
654	-116335.6422
655	-116334.3038
656	-116331.7171
657	-116330.5091
658	-116326.7988
659	-116325.215
660	-116324.0333
661	-116323.2949
662	-116321.2375
663	-116320.0023
664	-116318.7119
665	-116316.4887
666	-116315.5528
667	-116314.4748
668	-116310.6825
669	-116308.4672
670	-116307.5199
671	-116304.9228
672	-116304.0118
673	-116301.6577
674	-116300.5224
675	-116300.0415
676	-116298.22
677	-116296.7025
678	-116294.8148
679	-116294.3169
680	-116292.1657
681	-116290.7521
682	-116288.8275
683	-116287.6741
684	-116285.5363
685	-116285.0492
686	-116284.6757
687	-116282.0698
688	-116280.8363
689	-116280.1967
690	-116278.9111
691	-116277.5743
692	-116276.1311
693	-116274.6348
694	-116272.5403
695	-116271.3291
696	-116270.083
697	-116268.8817
698	-116266.1899
699	-116264.5307
700	-116263.0473
701	-116261.4438
702	-116259.9984
703	-116258.7717
704	-116255.1798
705	-116252.9697
706	-116251.4071
707	-116248.4397
708	-116247.0139
709	-116244.4077
710	-116242.3201
711	-116239.7904
712	-116238.1797
713	-116236.6272
714	-116235.707
715	-116234.3542
716	-116232.3488
717	-116229.9978
718	-116228.5903
719	-116226.0464
720	-116223.4704
721	-116221.574
722	-116219.8817
723	-116218.9915
724	-116216.339
725	-116215.2183
726	-116212.5719
727	-116210.9196
728	-116208.1948
729	-116206.4859
730	-116205.865
731	-116204.5909
732	-116203.0449
733	-116200.5371
734	-116199.3581
735	-116198.3931
736	-116196.488
737	-116195.8881
738	-116195.008
739	-116192.2452
740	-116191.306
741	-116189.149
742	-116188.6124
743	-116185.2953
744	-116183.1964
745	-116181.8564
746	-116179.8856
747	-116178.5167
748	-116176.6897
749	-116175.6491
750	-116173.4136
751	-116172.0717
752	-116170.224
753	-116168.3611
754	-116167.6793
755	-116166.5025
756	-116164.0125
757	-116162.3557
758	-116159.5063
759	-116157.7556
760	-116155.9314
761	-116154.0391
762	-116152.3199
763	-116150.5902
764	-116147.0257
765	-116144.7658
766	-116143.4765
767	-116141.8188
768	-116140.4787
769	-116139.6326
770	-116138.6048
771	-116138.1031
772	-116137.0393
773	-116135.9306
774	-116134.6096
775	-116134.2339
776	-116132.7589
777	-116131.0637
778	-116130.2424
779	-116127.2146
780	-116125.9665
781	-116124.942
782	-116123.4926
783	-116122.0273
784	-116120.0602
785	-116119.5609
786	-116116.8656
787	-116113.2768
788	-116111.765
789	-116109.6512
790	-116109.3397
791	-116107.7204
792	-116105.9762
793	-116104.1741
794	-116101.4558
795	-116100.779
796	-116098.8887
797	-116097.1678
798	-116095.3107
799	-116094.1086
800	-116092.0963
801	-116090.517
802	-116086.6113
803	-116085.1216
804	-116083.5563
805	-116080.8704
806	-116079.7118
807	-116078.1008
808	-116075.0081
809	-116073.5466
810	-116073.0833
811	-116071.9792
812	-116070.9032
813	-116069.139
814	-116067.1207
815	-116066.5791
816	-116065.1953
817	-116064.4345
818	-116063.6487
819	-116062.8507
820	-116061.6789
821	-116060.3025
822	-116058.5926
823	-116055.7138
824	-116054.185
825	-116051.4091
826	-116049.4046
827	-116048.6409
828	-116047.7765
829	-116046.2974
830	-116045.9354
831	-116044.0864
832	-116040.3698
833	-116039.1198
834	-116037.3053
835	-116036.916
836	-116036.0808
837	-116035.2978
838	-116033.0267
839	-116031.5147
840	-116030.8763
841	-116029.9091
842	-116028.5809
843	-116027.2614
844	-116027.0724
845	-116025.8623
846	-116024.0265
847	-116021.4771
848	-116019.4872
849	-116017.8028
850	-116015.0325
851	-116013.1372
852	-116012.23
853	-116010.373
854	-116007.155
855	-116005.7748
856	-116003.4207
857	-116002.2204
858	-116000.2925
859	-115997.7695
860	-115995.5952
861	-115994.8075
862	-115994.3258
863	-115992.4665
864	-115987.9561
865	-115985.2804
866	-115983.8417
867	-115981.9985
868	-115979.9646
869	-115978.1477
870	-115977.7968
871	-115976.4481
872	-115975.1418
873	-115972.2774
874	-115970.776
875	-115969.0424
876	-115968.8074
877	-115968.2791
878	-115967.2067
879	-115965.4464
880	-115964.3039
881	-115961.258
882	-115958.4181
883	-115957.4643
884	-115956.2187
885	-115954.4111
886	-115952.9464
887	-115951.9978
888	-115949.9305
889	-115948.8457
890	-115948.047
891	-115946.04
892	-115943.079
893	-115941.9813
894	-115939.8648
895	-115938.4012
896	-115935.0962
897	-115934.0709
898	-115933.5666
899	-115932.3427
900	-115930.8911
901	-115929.8811
902	-115928.307
903	-115925.1369
904	-115923.876
905	-115920.9454
906	-115918.3026
907	-115917.1691
908	-115916.1501
909	-115915.4302
910	-115914.8175
911	-115912.591
912	-115910.7944
913	-115908.8577
914	-115908.5438
915	-115908.1279
916	-115906.2718
917	-115904.6134
918	-115904.02
919	-115899.8008
920	-115899.0847
921	-115896.794
922	-115895.2803
923	-115893.7098
924	-115891.9898
925	-115889.8728
926	-115888.7123
927	-115886.7275
928	-115886.3015
929	-115885.0307
930	-115881.3496
931	-115880.6501
932	-115879.1868
933	-115877.1414
934	-115876.2253
935	-115874.836
936	-115873.8065
937	-115872.7262
938	-115871.1753
939	-115870.3149
940	-115868.7094
941	-115864.8988
942	-115863.6438
943	-115861.8904
944	-115860.2181
945	-115856.4507
946	-115855.6962
947	-115854.0556
948	-115851.6862
949	-115848.408
950	-115846.5967
951	-115846.3133
952	-115844.2131
953	-115842.6894
954	-115840.891
955	-115840.2264
956	-115838.2467
957	-115835.4074
958	-115833.06
959	-115831.4053
960	-115830.6916
961	-115829.0232
962	-115828.3982
963	-115827.521
964	-115825.6207
965	-115825.15
966	-115824.3815
967	-115822.1714
968	-115820.9409
969	-115818.8113
970	-115816.9433
971	-115816.5666
972	-115816.152
973	-115814.6109
974	-115814.1507
975	-115812.0585
976	-115809.331
977	-115808.2274
978	-115806.3013
979	-115804.4357
980	-115802.107
981	-115799.6346
982	-115797.9893
983	-115796.0784
984	-115794.3212
985	-115792.4181
986	-115791.4911
987	-115790.3919
988	-115789.9301
989	-115788.0272
990	-115787.1739
991	-115786.3778
992	-115785.4555
993	-115784.3564
994	-115782.7147
995	-115781.932
996	-115781.0874
997	-115778.7401
998	-115776.2699
999	-115775.3581
1000	-115774.3743
1001	-115773.149
1002	-115772.4001
1003	-115771.2219
1004	-115769.7502
1005	-115767.1639
1006	-115765.5269
1007	-115764.7991
1008	-115764.2907
1009	-115762.7254
1010	-115760.1907
1011	-115758.2812
1012	-115757.3782
1013	-115755.8067
1014	-115755.1287
1015	-115754.4097
1016	-115752.5428
1017	-115751.1452
1018	-115749.6954
1019	-115748.9335
1020	-115748.1228
1021	-115746.9966
1022	-115745.399
1023	-115743.1298
1024	-115740.274
1025	-115737.9668
1026	-115735.3176
1027	-115734.1337
1028	-115733.6862
1029	-115732.8615
1030	-115730.5347
1031	-115729.7318
1032	-115726.77
1033	-115726.2872
1034	-115725.5031
1035	-115725.22
1036	-115723.8519
1037	-115721.4342
1038	-115720.8935
1039	-115718.9795
1040	-115717.5942
1041	-115713.8606
1042	-115712.3848
1043	-115711.0536
1044	-115709.8181
1045	-115707.467
1046	-115705.7884
1047	-115702.7176
1048	-115701.1982
1049	-115699.5187
1050	-115698.3197
1051	-115697.59
1052	-115696.5225
1053	-115695.5325
1054	-115693.7047
1055	-115693.0165
1056	-115690.6445
1057	-115689.0944
1058	-115687.1375
1059	-115686.2014
1060	-115685.549
1061	-115683.1724
1062	-115682.303
1063	-115680.6292
1064	-115679.7628
1065	-115679.2953
1066	-115676.9892
1067	-115674.4287
1068	-115673.3697
1069	-115671.856
1070	-115670.3631
1071	-115669.6476
1072	-115667.2104
1073	-115665.6868
1074	-115664.6379
1075	-115662.4991
1076	-115659.8848
1077	-115658.8438
1078	-115654.9171
1079	-115654.3186
1080	-115652.3217
1081	-115651.0334
1082	-115649.9763
1083	-115647.3985
1084	-115646.5655
1085	-115645.2508
1086	-115643.6517
1087	-115642.2325
1088	-115640.9563
1089	-115639.7085
1090	-115635.1629
1091	-115633.7235
1092	-115631.8594
1093	-115630.2648
1094	-115626.9731
1095	-115625.3112
1096	-115624.2652
1097	-115623.2087
1098	-115622.3515
1099	-115621.3712
1100	-115618.729
1101	-115616.7235
1102	-115614.9999
1103	-115613.8422
